Date,CORESTICKM159SFRBATL
1981-05-31,9.603160634
1981-06-07,9.5249620348
1981-06-14,9.4467634356
1981-06-21,9.368564836400001
1981-06-28,9.2903662372
1981-07-05,9.6173801802
1981-07-12,10.0225927224
1981-07-19,10.4278052646
1981-07-26,10.833017806800001
1981-08-02,11.334982300833333
1981-08-09,11.431734252666667
1981-08-16,11.5284862045
1981-08-23,11.625238156333333
1981-08-30,11.721990108166667
1981-09-06,11.9007863902
1981-09-13,11.9828307204
1981-09-20,12.0648750506
1981-09-27,12.1469193808
1981-10-04,12.0364213514
1981-10-11,11.8438789918
1981-10-18,11.6513366322
1981-10-25,11.4587942726
1981-11-01,11.1425491465
1981-11-08,11.01884638
1981-11-15,10.8951436135
1981-11-22,10.771440847000001
1981-11-29,10.6477380805
1981-12-06,10.390386591
1981-12-13,10.256737868
1981-12-20,10.123089145
1981-12-27,9.989440422
1982-01-03,9.7786020402
1982-01-10,9.701412381399999
1982-01-17,9.6242227226
1982-01-24,9.5470330638
1982-01-31,9.469843405
1982-02-07,9.48733955725
1982-02-14,9.5048357095
1982-02-21,9.52233186175
1982-02-28,9.539828014
1982-03-07,9.409948520199999
1982-03-14,9.2800690264
1982-03-21,9.150189532599999
1982-03-28,9.0203100388
1982-04-04,8.9285694246
1982-04-11,8.966708304199999
1982-04-18,9.0048471838
1982-04-25,9.0429860634
1982-05-02,9.076428291500001
1982-05-09,9.071731640000001
1982-05-16,9.067034988500001
1982-05-23,9.062338337
1982-05-30,9.0576416855
1982-06-06,9.0180031356
1982-06-13,8.983061237200001
1982-06-20,8.9481193388
1982-06-27,8.9131774404
1982-07-04,8.6804656638
1982-07-11,8.4826957856
1982-07-18,8.2849259074
1982-07-25,8.0871560292
1982-08-01,7.796004413166667
1982-08-08,7.702622675333333
1982-08-15,7.6092409375
1982-08-22,7.515859199666667
1982-08-29,7.422477461833333
1982-09-05,7.0591902114
1982-09-12,6.7892846988
1982-09-19,6.5193791862
1982-09-26,6.249473673600001
1982-10-03,5.9794442204000005
1982-10-10,5.9793202798000005
1982-10-17,5.9791963392
1982-10-24,5.9790723986
1982-10-31,5.978948458
1982-11-07,5.8440653594
1982-11-14,5.7091822608
